2025-05-14 12:51:51,188 - INFO - Received reading: Sensor ID=4Inlet Temp Sensor, Type=temperature, Value=25.23, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-42.0, SNR=8.5
2025-05-14 12:58:50,165 - INFO - Received reading: Sensor ID=TestSensor_0, Type=temperature, Value=20.83, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-70.0, SNR=8.76
2025-05-14 12:58:51,396 - INFO - Received reading: Sensor ID=TestSensor_1, Type=temperature, Value=23.91, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-59.0, SNR=13.46
2025-05-14 12:58:52,127 - INFO - Received reading: Sensor ID=TestSensor_2, Type=temperature, Value=27.51, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-30.0, SNR=6.52
2025-05-14 12:58:52,673 - INFO - Received reading: Sensor ID=TestSensor_3, Type=temperature, Value=28.14, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-44.0, SNR=7.31
2025-05-14 12:58:53,363 - INFO - Received reading: Sensor ID=TestSensor_4, Type=temperature, Value=28.53, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-38.0, SNR=10.77
2025-05-14 12:58:53,934 - INFO - Received reading: Sensor ID=TestSensor_5, Type=temperature, Value=29.91, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-74.0, SNR=7.06
2025-05-14 12:58:55,077 - INFO - Received reading: Sensor ID=TestSensor_6, Type=temperature, Value=28.62, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-43.0, SNR=13.55
2025-05-14 12:58:55,912 - INFO - Received reading: Sensor ID=TestSensor_7, Type=temperature, Value=23.52, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-68.0, SNR=5.13
2025-05-14 12:58:56,617 - INFO - Received reading: Sensor ID=TestSensor_8, Type=temperature, Value=24.25, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-54.0, SNR=5.26
2025-05-14 12:58:57,192 - INFO - Received reading: Sensor ID=TestSensor_9, Type=temperature, Value=22.48, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-30.0, SNR=14.73
2025-05-14 12:58:57,786 - INFO - Received reading: Sensor ID=TestSensor_10, Type=temperature, Value=22.41, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-68.0, SNR=12.63
2025-05-14 12:58:58,389 - INFO - Received reading: Sensor ID=TestSensor_11, Type=temperature, Value=27.19, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-33.0, SNR=13.52
2025-05-14 12:58:58,952 - INFO - Received reading: Sensor ID=TestSensor_12, Type=temperature, Value=20.02, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-64.0, SNR=11.33
2025-05-14 12:58:59,644 - INFO - Received reading: Sensor ID=TestSensor_13, Type=temperature, Value=20.33, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-78.0, SNR=10.5
2025-05-14 12:59:00,584 - INFO - Received reading: Sensor ID=TestSensor_14, Type=temperature, Value=29.77, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-31.0, SNR=10.71
2025-05-14 12:59:01,176 - INFO - Received reading: Sensor ID=TestSensor_15, Type=temperature, Value=27.38, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-55.0, SNR=7.17
2025-05-14 12:59:01,792 - INFO - Received reading: Sensor ID=TestSensor_16, Type=temperature, Value=21.57, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-40.0, SNR=7.3
2025-05-14 12:59:02,352 - INFO - Received reading: Sensor ID=TestSensor_17, Type=temperature, Value=29.55, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-74.0, SNR=10.86
2025-05-14 12:59:02,941 - INFO - Received reading: Sensor ID=TestSensor_18, Type=temperature, Value=23.56, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-76.0, SNR=10.3
2025-05-14 12:59:03,555 - INFO - Received reading: Sensor ID=TestSensor_19, Type=temperature, Value=21.43, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-73.0, SNR=14.9
2025-05-14 12:59:04,184 - INFO - Received reading: Sensor ID=TestSensor_20, Type=temperature, Value=21.63, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-50.0, SNR=9.54
2025-05-14 12:59:04,774 - INFO - Received reading: Sensor ID=TestSensor_21, Type=temperature, Value=26.3, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-62.0, SNR=5.37
2025-05-14 12:59:05,359 - INFO - Received reading: Sensor ID=TestSensor_22, Type=temperature, Value=22.95, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-48.0, SNR=6.78
2025-05-14 12:59:05,955 - INFO - Received reading: Sensor ID=TestSensor_23, Type=temperature, Value=22.66, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-40.0, SNR=13.64
2025-05-14 12:59:06,493 - INFO - Received reading: Sensor ID=TestSensor_24, Type=temperature, Value=22.46, Timestamp=2025-05-07 17:05:38.469082+00:00, RSSI=-49.0, SNR=9.09
